id_client;service_sauvegarde;service_antivirus;service_assurance;service_streaming_film;service_streaming_tv;service_support
BDFSG59549;0;0;1;1;1;1
JALQC57927;0;1;1;0;0;0
OUTMO22024;0;1;0;0;0;1
LIHRP90285;1;1;1;0;1;1
OCTMP40035;0;1;0;1;0;1
LHDJH87755;1;0;0;0;1;0
WBJVH08877;0;0;0;1;1;1
DQLGN88409;1;1;0;0;1;1
VONUO84132;1;0;0;1;1;0
PKKZE92813;0;0;0;1;1;0
YPSAH63399;0;0;1;0;0;0
EFHVG23248;1;0;1;1;1;0
ZBFQJ19181;1;0;1;0;0;0
GMKPR69686;1;0;1;0;0;0
ICYZQ30624;1;1;0;1;0;0
PPLPX60174;0;0;0;0;0;0
IOVQQ97059;1;0;0;1;1;0
CHQJB62882;0;1;1;1;0;1
TOTBP33159;0;0;0;0;0;0
FTHUR29374;0;1;0;1;0;0
HBMOS40623;1;0;1;1;1;0
WTMPL04098;1;1;1;1;1;0
EJLFL37664;0;1;1;1;1;1
ZFJSR03349;1;1;0;0;0;1
OIVSP65829;0;0;0;0;0;0
BOYNW86615;0;1;1;1;1;1
GAESD42571;0;0;0;1;1;0
CJSHH87855;1;0;0;1;1;0
CTCWN54693;1;1;0;1;1;0
VMUAV48901;1;1;1;0;0;1
SAIGS33659;1;0;0;0;1;0
CLJTI09462;0;0;1;1;1;0
HIHMQ39207;0;0;0;0;0;0
UVGNB53073;1;1;1;1;0;0
NXBGR07421;1;0;1;0;0;0
QEWPT59162;0;0;1;1;1;0
WNSOD92512;1;1;1;1;0;0
FBXOJ65767;0;0;1;1;1;1
XWWTZ25017;0;0;0;0;0;0
NIIWQ72456;0;0;0;0;0;0
HOOPW65674;0;0;0;0;1;0
EVXNY45504;0;0;0;0;0;0
UDQJM64379;1;1;1;1;1;0
RBCSG02975;1;0;0;1;0;1
NWIFK08539;1;1;0;1;1;0
OITSN48536;0;1;0;1;0;0
DAFVY61289;0;0;0;1;1;0
BVMVG11974;0;0;0;0;0;0
DQAKK75089;1;1;1;1;1;1
IVARM02893;1;1;1;0;0;0
NGFNY82607;0;0;0;0;0;0
IEVOJ70745;1;0;0;0;0;0
VUVJN84735;0;0;0;0;0;0
DJWTY66939;1;1;0;0;0;0
SNQYZ36554;1;1;1;1;1;1
KDHVX28458;1;0;1;1;0;1
YOCXN50274;1;1;0;1;1;1
XRHCU05671;0;1;1;1;0;0
CZJDR58689;1;0;0;0;0;0
BKEOR42234;0;1;1;1;0;0
RIIOM60357;1;0;0;1;1;0
VTIDR37974;0;0;0;0;0;0
BRGYX25686;0;0;0;0;0;0
SEFEE27753;1;1;0;0;0;1
SHSBH42915;0;0;0;0;0;0
QZXPU52042;0;0;1;0;1;0
ZOUAA33987;0;0;0;0;0;0
HNVGJ17681;0;1;0;1;0;1
XHYJO38585;0;1;1;1;1;0
PZTIC48379;0;1;1;0;0;1
MADBQ27739;1;1;1;1;0;1
PYKCI10903;1;1;1;0;1;1
HYNYL94798;1;0;1;1;1;1
LCNBW83184;0;1;1;1;1;0
WDCAF92613;0;0;0;1;0;0
JOUPP49098;1;0;1;1;1;1
IEYXM19518;1;1;1;1;1;1
OJHAL42275;1;1;1;0;1;0
PBBOA17082;1;1;1;1;0;1
UQXUQ41456;0;0;1;1;1;0
XXBXE95184;0;1;0;0;0;0
IHEZX95587;1;1;1;1;1;0
HABPF17072;1;0;1;0;1;0
AVVWI96439;1;0;0;0;0;1
FSHON33981;1;0;0;0;1;0
TWBAS91398;1;1;1;0;1;0
HYQEW09296;0;1;0;0;0;0
CRLZF04879;0;0;1;1;1;1
OKRCT04545;1;0;0;0;0;1
WKKAE23472;0;1;1;1;0;0
JOCQO66639;1;1;0;1;0;1
VQDRP12971;0;0;1;1;1;1
AADLV48686;1;1;1;1;1;1
TZEVA48265;1;0;0;0;0;0
IIARD40804;1;1;0;0;1;1
VFMXZ76729;0;1;0;0;0;1
RHLFB99409;0;0;1;0;0;0
SHLZX91171;0;0;0;0;0;0
UVNDW72536;0;0;1;0;0;1
KZQDZ98986;0;0;0;1;1;0
CIZFV85598;1;1;0;0;1;1
CLAKW25066;1;1;1;1;0;1
TKMZH85919;1;1;0;1;1;1
LMHOK49255;1;0;0;0;0;1
PUYQO49715;0;0;0;1;1;0
CAERR01862;1;1;1;1;1;1
HXJMX62331;0;0;1;1;0;0
CHFZW64673;1;0;0;1;1;0
BPLZQ81487;1;0;0;0;0;0
ASKVU05572;0;0;1;0;0;1
OADJP33545;0;1;0;0;0;1
OUUSZ22591;0;0;1;0;0;1
IKATY49192;0;1;1;0;0;0
VUFWD43285;0;0;0;1;0;1
DMLXU22321;0;0;0;0;1;0
GORXK64473;0;0;0;0;0;0
JYQPJ17773;0;0;0;0;0;0
GBWJZ66856;1;1;0;0;1;1
JBZZM39554;0;0;0;0;1;0
LQXXH51978;1;0;1;1;1;1
JSUWV59933;1;1;1;0;0;0
MVUSO22198;0;0;0;0;0;0
MOERK31582;0;0;0;1;1;0
KADLU35947;0;1;0;0;0;1
HFYIV83486;0;0;1;1;1;0
BAFGU86874;0;0;0;0;0;1
HAEVO68376;1;0;1;1;1;0
GMPVK67345;1;0;1;1;1;0
EZEWG98945;1;0;0;0;0;0
SVOWZ16706;1;0;0;1;0;1
PYOLZ58938;1;0;1;1;1;1
DWOEP33193;0;0;1;1;1;0
JDSKI95145;1;0;0;0;1;0
FFVAR74326;0;0;1;1;0;1
YPDDQ43297;1;1;1;1;1;1
RANUS28607;0;0;0;1;0;0
JKZNU86964;0;0;0;0;0;0
EOBFE48311;0;1;0;1;1;0
YLHDV44238;0;1;1;1;1;0
FIBXJ54495;0;0;1;1;1;1
DGHXP81449;0;1;1;1;1;1
JRDSO30965;0;1;0;1;1;1
BRIXZ58621;0;1;1;1;1;1
TMHJU45806;0;0;0;0;1;0
YVOMK93485;0;0;0;0;0;0
FMLZI84176;1;0;0;1;0;0
WEFYX68518;0;0;1;1;1;0
YHCMF81814;1;0;1;1;1;1
SEPYI75489;1;0;0;1;1;0
IOEGQ03744;0;0;0;0;0;0
BXBUB05813;1;0;0;0;0;0
GVWRF86425;1;0;1;0;0;0
SVLTV29312;1;1;0;1;1;1
SNMJQ51839;0;0;0;1;1;1
CKDNC72785;1;0;0;0;0;0
XNAFQ80248;1;1;1;1;0;1
TBGPH54803;1;0;1;1;1;0
ABVAD73018;1;0;1;1;1;1
DVQEO46782;0;0;0;0;0;1
DPEWS94156;0;0;0;0;1;1
FVMZZ37487;0;0;0;1;0;1
BUZGT52818;0;1;0;0;1;0
SESNB58798;0;0;0;0;0;0
TQVEV18206;0;0;0;0;0;0
CPATH90033;0;0;1;0;0;0
ASBGA12681;0;0;0;1;0;0
LHBYW66555;1;1;1;1;1;1
LUNBG92271;0;0;0;0;0;0
QYZZN05375;0;1;0;0;0;0
FNWVH87344;0;0;0;1;0;0
LZKAS83279;0;0;1;1;1;1
PCPIG41881;1;1;0;0;1;1
MPARY69063;1;0;0;1;0;1
FBCAS35445;1;1;1;1;1;0
RYTVV80346;0;1;1;0;0;0
YXBRO71307;1;1;1;1;1;0
BQCUW11571;0;0;0;0;0;0
SZLCH94453;1;0;1;0;1;0
UBQIU13996;0;0;1;1;1;0
PIGUY49122;0;0;0;0;1;0
OOEPC13232;1;0;0;1;1;0
VTHOE31813;1;0;1;1;0;1
ONJLV82722;0;0;1;1;1;0
GMGDH36478;0;0;1;1;1;0
SRDOK13033;0;0;0;0;0;0
YPXFS73615;1;0;1;0;0;1
NZRUF46599;1;1;0;1;0;0
IMLHK95185;1;1;1;0;1;1
LXDEV33743;1;0;1;0;0;1
JWTJW11229;0;0;0;0;0;0
BWOZN06502;1;0;0;0;0;0
YFFQO85902;1;1;1;0;0;1
HWLYB26499;0;1;1;1;0;1
QBYTO80656;1;1;0;0;1;1
DZLIZ82594;1;0;0;0;0;0
CFRNX33483;0;1;0;1;1;0
UMPYT82453;0;0;0;1;1;0
DJEQW15554;1;1;1;1;1;1
QGYJC77763;0;0;1;0;0;1
SLQPF28283;0;0;0;0;0;0
GWYKC31709;0;1;1;1;1;1
RCXUS17106;1;0;0;1;0;0
CXQEU26734;1;1;1;1;1;0
OZURD38384;1;0;1;1;1;0
ZSRDZ48592;0;0;1;1;1;1
BKOYE57953;1;0;1;0;0;1
MMUTZ28513;1;0;0;0;0;1
ZNQUT97527;1;0;0;0;0;0
VHWNP13293;0;0;0;0;0;0
QGRJH39998;0;0;0;0;0;0
BYAVD34664;1;0;1;1;0;1
FOTSD46726;1;1;0;0;0;1
RAGOV88519;1;1;0;1;0;1
LTHVJ02563;0;0;0;1;0;0
PNYOX52785;0;0;1;1;1;1
TVFDZ31322;0;0;0;1;1;0
MYYBN28248;0;0;0;1;1;0
DTDKW42892;1;0;0;1;1;0
DINOC00173;0;1;0;0;1;1
PLEQY45367;1;0;0;1;0;0
EJMWF64027;0;0;0;1;0;0
OKRJE14427;1;1;1;1;1;0
QNFQT14592;0;1;1;1;1;1
KNSML69969;0;0;1;0;0;0
JALAW22397;1;0;1;1;1;0
ABWRL34524;0;0;0;0;1;0
ZJYAM92317;0;0;0;0;1;0
CHRBV71537;0;1;1;0;0;1
JMZYP68337;0;0;1;1;1;0
CYCYZ56663;0;0;0;1;0;1
LLLFT15439;1;0;1;0;1;1
NQCBA65813;0;0;0;1;1;1
VETUR81526;1;0;0;1;1;0
MVYXX97968;0;1;1;0;0;1
JTCCU28427;0;0;0;0;0;0
ITUDF05955;1;1;1;0;0;0
BXGES82262;1;1;1;0;0;0
HAWSU30902;0;1;1;1;1;1
XGEQU11365;1;0;1;1;1;1
FZUGP67325;0;1;1;0;1;0
URHDA34016;0;1;0;0;0;1
TRTPY03655;1;1;1;0;0;0
DLAMQ46541;1;1;1;1;0;0
GEOOQ88472;1;0;1;1;1;1
IOTLZ67278;1;0;1;1;1;1
HVYXR69608;0;0;0;0;0;0
NHQXU03787;0;0;1;0;1;0
JUPYD05651;1;1;1;0;1;1
ZTEGJ76635;1;0;1;1;0;1
PTHGN14022;1;1;0;0;0;1
DYEPJ76578;1;0;1;0;1;1
DUVFC01007;1;0;1;1;1;0
TGDHM20264;0;0;0;1;0;0
HFUCW10421;1;0;0;0;0;1
GNOLC11531;1;0;0;0;1;0
WNXXC05763;1;0;1;1;0;0
ANDWJ69069;0;0;0;0;0;0
WQUHX71236;0;0;1;0;1;1
TYBCJ58575;0;0;1;0;1;0
CCKOU91702;1;1;1;0;0;0
VWVDO14753;0;0;1;0;0;0
DGVUU71082;1;0;1;1;0;0
QVMSK25331;1;0;0;0;1;1
POGZN73395;0;0;0;0;0;0
YLDFR68486;1;0;0;1;1;1
LSJGD28985;0;1;1;1;1;0
SFODM53733;0;0;0;1;0;0
UDMTP77337;1;0;1;1;1;0
NISEI28013;0;1;0;0;0;1
MYPGO43781;1;1;1;1;1;0
KPTWJ01299;0;0;1;1;1;0
AIVNJ03738;1;1;1;0;0;0
OOEEL84148;1;0;1;1;1;1
QVFKM85416;0;0;0;0;0;0
XIQBR29311;0;0;1;1;1;1
MSDEY56525;0;0;0;0;0;0
CWXVV25869;1;0;0;0;0;0
INTPH80582;0;0;0;0;1;0
NYLMZ27984;0;1;1;1;1;1
TKATG08801;0;0;1;1;1;0
VNIMQ93429;1;0;0;0;0;0
LGOVN77797;0;0;0;1;0;0
CKRLV21923;1;1;1;1;0;0
CRQXP82127;0;0;0;0;1;0
JWMPU30096;0;0;1;1;1;0
IIHUG06236;0;1;0;0;1;0
IVXVF26328;0;1;1;1;1;1
RBDUG06557;0;0;1;1;1;0
TJHTS18679;0;1;0;0;0;0
KWYKW00277;0;0;0;0;1;0
CRHKQ56515;1;0;1;0;0;1
DWPAZ13713;1;1;1;0;1;1
BHJYC11942;0;1;1;1;1;1
ZJKLT05726;0;1;1;1;0;1
QTLMB26459;1;0;0;1;1;0
KAPQG04917;0;0;0;0;0;0
MMFUH37935;0;0;0;1;1;0
SKVMF05782;1;0;0;1;0;0
FALIX10255;0;0;0;0;0;0
XSOJX78805;1;1;0;0;0;1
ZBNGW04955;0;0;1;0;0;0
AJDTL72712;1;0;1;0;1;0
PKIHD78338;0;1;0;1;1;1
KAJFD57911;0;1;1;1;0;0
TWRVK08536;1;1;1;1;0;1
RHSNB44566;0;0;1;0;0;0
IMGCQ98091;0;0;0;1;1;0
QBVBI20732;1;0;0;0;0;1
PGNCD61697;1;1;1;0;1;1
BUCFV26925;1;0;1;1;1;0
IRKSF16441;0;0;1;1;1;0
SEGFY13049;0;0;1;1;1;0
WJJPR97773;0;0;1;0;1;0
IKGQH57325;0;1;1;1;1;1
QAREY20871;1;0;1;0;0;0
CZMLL42297;0;0;0;0;0;0
KHCWD49403;1;1;0;0;0;1
SVNWV63604;0;1;0;0;0;0
NOZFC52263;1;0;0;0;1;0
LHZOD10622;0;0;0;0;0;0
EAGWC88063;0;0;0;0;1;0
DYBQN67692;0;1;0;1;0;0
TZMJL24089;1;1;1;1;1;0
DBMUS19966;0;0;0;0;0;0
FPAXX14329;1;0;0;0;0;0
XKKNJ26802;1;1;0;0;0;1
BJDSI81824;1;0;0;1;0;0
WNUIB13898;0;1;0;1;1;0
THJBS46125;1;0;1;1;1;0
ZTDOZ15305;0;1;0;0;1;0
POCOP58426;0;1;1;1;0;0
TOKRI94921;1;0;0;0;1;0
LAFGP07954;1;1;1;1;1;1
DFXKO06112;0;0;0;1;1;0
BUYVG80353;1;1;1;0;0;0
JDYNW66207;0;1;1;0;0;0
ZYEKH58976;1;1;0;1;1;0
OOVCJ50845;0;1;0;0;0;1
CSDJP17409;0;0;0;1;0;0
TRJUU94501;0;0;0;0;1;0
SSPWD45818;0;0;0;0;0;0
HQMGZ48134;0;0;0;1;0;1
CNOZC49035;1;0;1;1;0;0
GAVAP08225;0;0;0;1;0;0
OYMSE30554;1;0;0;0;0;0
QZLXF72424;0;0;0;0;0;0
QRPZR83259;0;0;1;0;0;0
YGEFM24764;0;0;0;0;0;0
YDAVZ22761;0;0;0;0;0;0
XEYAN06614;0;0;0;0;0;0
XKKWR13975;0;1;1;0;0;0
FXSCK92497;1;1;0;1;1;1
WXBGI47184;1;1;1;1;1;1
HECZI04861;1;1;0;0;1;0
MJEFC56565;0;1;1;0;1;1
CAXOA56403;0;0;0;1;0;1
MHCZW39465;0;0;1;0;0;0
UULRV83744;1;1;0;1;1;1
YKQTY21084;1;0;0;0;0;0
PFNIK28622;0;0;0;0;0;0
HYAPG28569;0;0;0;0;0;0
GNWHM37076;0;0;0;0;0;0
BJLSL23634;1;0;1;1;1;1
MITLP36635;1;0;1;1;1;0
DFEZH08408;0;0;0;0;0;0
HMFFH58798;1;1;1;1;1;1
BEGSG47238;0;1;1;1;1;1
BWUCK39761;1;0;0;0;1;1
RFMVS71205;0;0;0;0;1;0
FRFZQ82926;1;1;0;0;0;1
BQJEI94809;1;1;0;1;0;0
ZTLPI43508;1;0;1;1;1;1
GCZHZ37637;1;0;0;1;1;1
XUHBX16581;0;0;1;1;0;0
QZPQS25079;1;0;0;1;0;1
JJHGS05648;0;0;0;1;1;0
BOOHV97509;0;1;0;0;0;0
HHUOZ87736;0;0;0;1;1;0
MXCSE13357;0;0;1;0;0;1
CSMJE60297;0;0;0;0;0;0
RMEZH87072;1;1;0;1;0;0
CHWSK07718;1;1;1;1;0;0
KBKZP37031;0;0;0;0;0;0
LGWQI94772;1;1;1;1;1;0
JCPIB08723;0;1;0;1;0;0
IDLEK99099;1;0;0;0;1;1
YXVVA28746;1;0;1;1;1;1
MQUEA46761;1;1;1;0;1;0
PIQHM05806;1;1;1;1;0;0
SAOTC52435;1;0;0;0;0;0
YSPJJ50121;0;0;1;0;0;1
AHOUP52888;0;0;0;1;0;0
MXJIV74882;0;0;0;0;1;0
XOBQA98679;1;1;1;0;1;1
NKCXI55783;1;1;0;1;1;0
SSWAG11011;0;0;0;0;0;0
LDZUE00824;0;0;0;0;0;0
CKLOR20039;1;0;1;1;1;0
IDSTG06798;0;0;0;0;0;0
JTEEC77294;0;0;0;0;0;0
LOAHA15502;1;0;0;1;0;0
TAVKX83366;1;1;1;1;0;1
VEPUF91142;1;1;0;1;0;0
BHGOG26881;0;0;0;1;0;0
OEQZH20383;0;0;1;1;0;0
HZZHQ47676;1;0;1;0;0;0
XWZFY00939;1;0;1;1;1;0
CNNKB10889;1;1;1;1;0;1
NECEV45669;1;0;1;1;0;0
OIEDU74107;0;1;1;0;0;0
MYGPK75494;1;1;1;0;1;0
EPFBG00568;0;1;1;0;0;1
USPKF50328;1;1;1;1;1;0
WSNTY67236;1;0;1;1;1;1
OIYEJ11954;0;0;0;1;1;0
YESJC79642;1;1;1;0;0;0
SNNEW59955;1;0;1;1;1;0
EHEVJ99041;0;0;1;0;1;0
AEHIG78763;0;1;1;1;1;1
XXSOG29781;0;1;0;0;0;1
KTFRE25857;1;1;0;1;0;1
TAJYI48473;0;0;0;1;1;0
XUSCI77528;1;0;1;1;1;0
HOWRP43345;1;1;1;1;1;1
KWOKW44452;1;1;0;0;0;0
FITGH05419;0;1;0;1;0;0
EQPIM80396;0;1;1;1;1;1
FVJLC64749;0;0;0;1;0;0
EKTKM37769;0;0;0;0;1;0
ZZKBD70366;0;0;1;1;0;1
XIMLN30069;0;0;0;1;1;0
XCFYV76684;0;0;0;1;1;0
IMRMM61012;0;0;1;1;1;0
NUIAA78391;1;1;0;0;0;0
CPURM76616;0;0;0;1;0;1
EJXRD55832;1;1;1;1;0;1
JCGNI70558;1;1;1;1;1;1
PEPNS76368;0;0;0;0;0;0
PLRLP76198;1;1;1;1;0;0
EEWWM24786;0;0;0;1;1;0
YLBMM63055;1;0;1;1;1;1
WYGFR44293;0;0;0;0;0;1
PUPMC60648;0;1;0;0;0;1
FSPVW10975;0;1;1;0;0;0
CBREO90585;0;0;0;0;0;0
ZBZZV92393;0;0;1;1;1;0
SJCZT52998;0;0;1;1;1;0
ZBPOQ76709;0;1;0;0;0;1
JMNKX87495;0;1;1;0;1;0
QYTCF20677;1;0;1;1;1;1
GUDCL10362;1;1;0;1;1;1
XLDOF53751;1;1;1;1;1;1
CSNMG31911;0;0;0;0;1;0
EQOEP38746;0;0;0;1;1;0
SAWMO75172;0;1;0;0;0;0
IAICY26095;0;0;0;0;0;0
CTHOL33342;0;0;0;0;0;0
EECDB65139;0;0;0;0;0;0
RVMTE49457;0;0;1;0;1;0
ABEPT95897;1;0;0;0;1;1
HCETZ42484;1;0;1;0;0;0
SKORY18626;1;0;0;0;1;0
INRLC78811;1;0;0;1;1;0
OCEQI71633;0;0;1;1;1;1
POXGX80669;0;0;0;1;0;0
EIVQS84024;1;1;0;1;1;0
USMEC13254;1;1;1;0;1;0
ZPALD40498;0;1;1;1;1;0
WRYZE63939;0;0;0;1;1;0
DTCZB19716;1;1;1;1;1;1
FLBGS16849;1;0;0;0;1;1
SMHXL75088;1;0;0;0;1;0
XIBUM84299;0;1;0;1;1;0
GWWAV60618;1;1;1;0;1;0
LQOGP56802;1;1;1;1;1;1
IJRHS60505;1;0;1;1;1;0
SVHYR03639;1;1;1;1;1;1
