id_client;mariee;retraite;a_charge;genre;facture_mensuelle;telephone;plusieurs_numeros;internet;total_factures;contrat;facture_par_mail;type_de_paiement;client_depuis_mois;sortie_client
TXOAK04631;0;0;1;0;25.600;1;1;0;1334.500;2;0;Credit card (automatic);52;0
WYDOU46839;1;0;0;0;107.600;1;1;2;6912.700;2;1;Bank transfer (automatic);62;0
PQLGG11667;1;0;1;1;19.550;1;0;0;1463.450;2;0;Bank transfer (automatic);72;0
ZBDRN09634;0;0;0;0;96.200;1;0;2;3183.400;0;1;Electronic check;32;1
JTKJF48716;0;1;0;1;69.650;1;0;2;69.650;0;1;Electronic check;1;1
TETGO71733;1;1;0;1;78.500;1;1;2;5602.250;2;0;Bank transfer (automatic);72;0
ORFCL41937;0;1;0;1;45.100;1;0;1;45.100;0;0;Mailed check;1;1
PFYTJ26922;0;0;0;1;25.750;1;1;0;25.750;0;1;Mailed check;1;0
UAPKZ23696;0;0;0;0;104.100;1;1;2;541.900;0;0;Mailed check;5;1
QLVZB51935;0;0;0;0;104.750;1;1;2;6536.500;2;1;Bank transfer (automatic);63;0
DJQHR03799;1;0;1;0;81.350;1;0;1;5398.600;2;0;Credit card (automatic);67;0
FWVFY46576;1;0;1;1;96.350;1;1;2;3915.400;0;1;Credit card (automatic);40;0
EJQEG06232;0;0;0;0;93.550;1;1;2;6069.250;1;0;Electronic check;65;0
TLDLZ16997;1;0;1;1;19.700;1;0;0;301.550;2;0;Mailed check;16;0
UYKBC45014;0;1;0;1;69.100;1;1;1;3255.350;1;1;Credit card (automatic);46;0
WPEZG81588;0;0;0;0;35.650;0;2;1;425.100;0;1;Electronic check;11;0
EQMWY97325;1;0;0;1;99.400;1;0;2;5025.000;0;0;Electronic check;49;0
BTKWT10999;1;0;0;1;54.400;0;2;1;3723.650;1;1;Electronic check;68;0
TUMEQ48156;0;0;0;1;19.300;1;0;0;185.200;1;1;Mailed check;10;0
UTSLV64075;0;1;0;1;83.800;1;0;2;163.700;0;1;Bank transfer (automatic);2;0
NYROU00186;1;0;0;1;68.950;1;0;2;351.500;0;1;Electronic check;5;0
XJMEX46321;0;0;1;0;62.850;1;0;1;3419.500;1;0;Credit card (automatic);53;0
PHXTF14092;1;1;0;0;110.450;1;1;2;6077.750;2;1;Electronic check;54;0
TNIQA82291;0;0;0;1;45.300;1;0;1;196.950;0;1;Mailed check;4;1
ONKER05299;0;1;0;0;75.650;1;1;2;1146.650;0;0;Electronic check;15;1
YDUPJ36753;0;0;0;0;19.850;1;0;0;193.050;0;1;Mailed check;10;0
CGXFK44845;0;0;0;1;55.300;1;0;1;196.150;0;1;Electronic check;3;1
EMBNA44436;1;0;0;1;24.750;1;1;0;1836.900;2;0;Bank transfer (automatic);71;0
DLSHD42802;1;0;0;0;54.750;1;0;1;445.850;0;1;Mailed check;8;0
AGZNL93003;0;1;0;0;94.000;1;1;2;94.000;0;1;Electronic check;1;1
CZANW27898;1;0;1;1;110.300;1;1;2;6997.300;2;0;Bank transfer (automatic);64;0
EETCQ84649;0;0;0;0;18.800;1;0;0;1094.350;2;0;Credit card (automatic);57;0
EWTRS72167;1;1;0;1;100.800;1;1;2;100.800;0;1;Electronic check;1;1
KAZHE44684;1;1;0;1;60.000;1;0;1;1259.350;0;1;Electronic check;20;0
ULFNQ86239;0;1;0;1;66.050;1;1;1;1652.400;0;1;Electronic check;26;0
WZPGV93173;0;1;0;1;79.750;1;0;2;159.400;0;1;Bank transfer (automatic);2;1
YRTDV89473;1;0;1;0;94.800;1;0;2;3131.550;1;0;Mailed check;32;0
DKOLC18148;0;0;0;1;25.450;1;1;0;134.750;0;0;Mailed check;5;0
SBTRN80713;0;0;0;1;111.150;1;1;2;7737.550;2;1;Mailed check;70;0
MLJPN47016;0;0;0;0;55.250;1;0;1;1715.650;0;1;Electronic check;31;1
WNWPJ12051;0;0;0;1;59.500;1;0;1;415.950;0;1;Mailed check;7;1
HDPXZ61582;0;0;0;0;25.350;0;2;1;25.350;0;0;Mailed check;1;0
VLCTZ66836;0;1;0;0;98.550;1;1;2;1842.800;0;1;Electronic check;20;1
OWVYD37271;0;0;0;0;61.200;1;0;1;2021.200;1;0;Mailed check;35;0
NAOES08569;0;0;0;0;60.900;1;0;1;414.100;0;0;Mailed check;6;0
FGDCR05621;1;0;1;1;74.550;1;1;1;5430.650;2;0;Mailed check;72;0
SYCWG09566;0;0;0;1;19.650;1;0;0;244.800;1;0;Electronic check;13;0
VWCNI22776;0;1;0;1;48.750;1;1;1;179.850;0;0;Mailed check;4;0
LZGQZ34982;1;0;1;0;19.150;1;0;0;1177.050;2;1;Mailed check;63;0
MGVPY91358;1;0;0;0;84.700;1;0;1;5878.900;2;1;Mailed check;69;0
SLMEF38151;0;0;0;1;34.250;0;2;1;139.350;0;0;Mailed check;3;1
AILEF89448;1;0;0;0;19.450;1;0;0;340.850;0;1;Credit card (automatic);15;0
XKUCC12702;1;0;1;1;19.700;1;0;0;599.250;2;0;Mailed check;30;0
SYEUS66335;0;0;0;1;83.200;1;0;2;2032.300;0;0;Bank transfer (automatic);23;0
GXIUB80759;1;1;0;0;19.850;1;0;0;183.150;1;0;Credit card (automatic);9;0
NXBNJ60162;0;0;0;0;19.150;1;0;0;638.000;1;1;Mailed check;35;0
GYWLO93329;1;0;1;1;54.850;1;0;1;355.100;0;0;Electronic check;6;0
HDUEG32764;0;0;0;1;75.050;1;1;2;75.050;0;1;Mailed check;1;1
FBCTL58843;1;0;1;1;25.100;1;1;0;1857.850;2;0;Bank transfer (automatic);72;0
YPYBV89997;1;0;1;0;84.350;1;0;1;3858.050;2;1;Mailed check;45;0
VVDMG15221;1;0;1;0;89.750;1;0;2;608.800;0;1;Electronic check;7;1
SOMKO08489;0;0;0;0;48.400;0;2;1;3442.800;2;0;Bank transfer (automatic);70;0
DYMBM16574;1;0;0;0;19.900;1;0;0;1110.050;2;0;Credit card (automatic);53;0
EFPNL69236;0;0;0;0;51.750;1;1;1;201.100;0;0;Credit card (automatic);4;1
FQSTQ21672;1;0;0;1;92.400;1;1;1;6786.100;2;1;Electronic check;72;0
BHDQG92866;1;0;1;0;45.250;0;2;1;3139.800;2;0;Credit card (automatic);72;0
CBZPL72253;1;1;0;0;94.800;1;1;2;1563.900;0;1;Electronic check;17;0
IYGFG56051;0;0;0;1;69.850;1;0;2;515.450;0;1;Bank transfer (automatic);7;0
OKBCE68619;0;0;1;1;20.100;1;0;0;221.350;0;0;Credit card (automatic);11;1
YXDAD75711;0;0;0;1;74.900;1;1;2;147.150;0;0;Credit card (automatic);2;1
FNMCI02549;0;0;0;1;109.900;1;0;2;7624.200;2;1;Electronic check;72;0
FJGLA89818;0;0;1;0;78.000;1;1;2;851.800;0;1;Mailed check;11;0
MYSHR84144;0;1;0;0;91.400;1;0;2;449.750;0;1;Electronic check;5;1
CNFMO92743;1;1;0;0;74.950;1;1;2;308.700;0;0;Electronic check;4;1
NFNCH37949;1;0;0;0;50.000;1;0;1;1474.900;0;1;Mailed check;30;0
RIVOP51581;1;0;1;1;20.900;1;0;0;202.300;2;0;Credit card (automatic);11;0
DDVRV11001;1;0;0;0;49.800;0;2;1;836.350;0;1;Mailed check;17;0
BNTHX95224;0;1;0;1;56.250;0;2;1;1765.950;0;1;Electronic check;34;0
IYRBF36777;0;1;0;1;30.400;0;2;1;78.650;0;1;Electronic check;2;1
PCARS70097;0;0;1;0;19.100;1;0;0;1001.500;1;0;Bank transfer (automatic);55;0
ZNGGW82502;0;1;0;1;59.900;1;0;1;287.850;0;0;Credit card (automatic);5;0
BMLBD09673;1;0;1;1;20.000;1;0;0;196.350;1;1;Mailed check;11;0
RQHXR75944;0;0;1;1;79.600;1;0;2;79.600;0;1;Electronic check;1;1
SNIZF89666;1;0;0;1;19.450;1;0;0;1303.500;2;0;Bank transfer (automatic);70;0
NXZCP72356;0;1;0;0;74.850;1;1;2;156.400;0;1;Mailed check;2;1
OAHPZ01226;0;0;0;1;73.850;1;1;2;511.250;0;1;Electronic check;7;1
PDTHL78158;0;0;0;0;20.200;1;0;0;684.400;2;1;Mailed check;35;0
ZXFOE83311;0;0;0;1;71.100;1;1;1;4299.200;1;1;Credit card (automatic);58;0
UPRHR89015;1;0;1;1;109.200;1;1;2;7711.450;2;1;Bank transfer (automatic);72;0
SVYLG35633;1;0;1;0;62.650;1;0;1;4375.800;2;0;Credit card (automatic);68;0
MXZRA32059;0;0;0;0;59.450;1;0;1;1507.000;1;0;Credit card (automatic);26;0
AKEMH53923;0;0;0;1;45.050;1;0;1;523.100;0;1;Electronic check;12;0
AAXCB82016;1;0;1;0;60.350;1;1;1;1404.650;0;0;Electronic check;25;0
ELBGL69196;1;1;1;0;114.950;1;1;2;8196.400;2;1;Bank transfer (automatic);72;0
LHVLY50476;0;1;1;0;50.150;1;0;1;50.150;0;1;Mailed check;1;1
FYDIB84045;0;0;0;0;86.650;1;1;2;2208.750;0;1;Credit card (automatic);26;0
TAILE34154;1;0;1;1;65.700;1;0;1;134.350;0;0;Mailed check;2;1
GWENI28195;1;0;1;1;19.900;1;0;0;543.000;1;0;Mailed check;28;0
HXUGH61647;1;0;1;1;19.850;1;0;0;119.300;0;0;Mailed check;6;0
NUHWD50466;1;1;0;1;45.000;0;2;1;1228.650;0;1;Electronic check;29;0
GHRQR01061;0;0;0;0;71.400;1;1;1;1212.100;0;1;Bank transfer (automatic);16;0
XGEJJ83746;1;1;0;0;101.000;1;1;2;4388.400;0;1;Electronic check;43;1
KZAAT25462;1;0;0;0;75.400;1;0;1;3865.450;1;1;Mailed check;52;0
NMZYQ75699;1;0;1;1;118.750;1;1;2;8672.450;2;1;Bank transfer (automatic);72;0
DYZQM32792;1;0;1;0;19.450;1;0;0;1378.450;2;0;Mailed check;71;0
FIUCA03747;1;0;0;0;20.400;1;0;0;1414.450;2;1;Credit card (automatic);65;0
NTNFO37142;0;0;0;1;84.500;1;1;2;3906.700;0;1;Electronic check;49;0
DWKTI87051;0;0;0;0;83.800;1;0;2;4331.400;0;1;Credit card (automatic);52;0
SMMNX41957;0;0;0;0;20.350;1;0;0;33.200;0;0;Mailed check;2;1
GFPMB51368;0;0;0;0;89.400;1;1;2;4869.500;0;0;Credit card (automatic);54;0
YHMGA64763;1;0;1;1;76.500;1;0;1;1155.600;0;0;Bank transfer (automatic);15;0
MJDSB30557;0;0;0;0;24.600;0;2;1;190.100;0;1;Mailed check;9;0
GMHUV75161;1;1;0;0;105.050;1;1;2;5163.300;2;1;Credit card (automatic);50;0
NFXKV59403;1;0;1;0;83.650;1;1;2;1465.750;0;1;Electronic check;19;1
YASZG35978;1;1;0;1;104.450;1;1;2;7349.350;2;1;Bank transfer (automatic);70;0
WOVKF37867;1;1;0;1;106.850;1;1;2;7677.400;1;1;Bank transfer (automatic);72;0
MLNTI28062;1;1;0;0;105.100;1;1;2;5376.400;1;1;Bank transfer (automatic);52;0
DDIHE07992;1;0;1;1;46.300;1;0;1;639.450;0;0;Electronic check;15;0
PJHDQ99263;1;0;1;1;76.800;1;1;1;5468.450;2;1;Bank transfer (automatic);72;0
GDDSO03342;0;1;0;0;81.350;1;1;2;233.700;0;1;Electronic check;3;1
KFUOG23713;0;0;0;0;99.150;1;0;2;5720.950;1;0;Bank transfer (automatic);58;0
JLRJT46349;0;0;0;1;20.350;1;0;0;20.350;0;1;Mailed check;1;0
VLQVU58867;1;0;0;0;89.850;1;1;2;3161.200;0;1;Bank transfer (automatic);35;0
ORPIK31943;1;0;1;1;84.400;1;1;2;4116.150;0;1;Bank transfer (automatic);50;1
NJXHX60483;1;0;0;0;19.750;1;0;0;899.450;2;1;Electronic check;41;0
KSUGX78606;1;0;1;0;64.450;1;1;1;4720.000;2;0;Credit card (automatic);72;0
MXLSX29259;0;0;0;1;68.950;1;1;1;2038.700;1;1;Credit card (automatic);30;0
FILNV29331;1;0;1;1;24.400;0;2;1;36.550;0;1;Mailed check;2;1
XKCBS77586;0;0;0;0;29.700;0;2;1;438.250;0;1;Electronic check;15;1
DNKIV20273;1;0;1;0;58.750;1;0;1;2203.100;1;1;Mailed check;37;0
ERMAN47515;1;0;1;0;75.400;1;0;1;5480.250;2;1;Bank transfer (automatic);72;0
KDLKN82243;1;0;1;0;25.000;1;1;0;1738.900;2;0;Bank transfer (automatic);72;0
SKFGK79296;1;0;0;0;114.300;1;1;2;8244.300;2;0;Credit card (automatic);70;0
IBCTI83293;0;0;0;1;19.650;1;0;0;19.650;0;0;Mailed check;1;1
IBERQ50167;1;0;0;0;84.250;1;1;2;1968.100;0;0;Electronic check;23;0
ZMYXQ54059;0;0;0;1;74.600;1;1;2;548.900;0;1;Credit card (automatic);8;0
TZDMQ78418;0;0;0;0;46.000;1;0;1;84.500;0;1;Credit card (automatic);2;1
CLVZW97541;1;0;1;1;38.850;0;2;1;1025.150;0;0;Credit card (automatic);26;0
XJUME95031;0;0;1;0;19.650;1;0;0;928.400;1;0;Credit card (automatic);52;0
QEICA32985;1;0;1;1;34.600;0;2;1;813.450;2;0;Mailed check;23;0
LOJKX94206;0;0;0;1;99.100;1;0;2;1426.400;0;1;Credit card (automatic);15;1
JSQEW33917;1;0;0;0;50.150;1;0;1;2058.500;0;1;Mailed check;40;0
KYYPY49399;0;0;0;0;59.450;1;1;1;1611.650;0;0;Electronic check;27;0
VVFST20618;1;0;0;1;19.500;1;0;0;805.200;0;0;Bank transfer (automatic);37;0
YAGIY64806;0;0;0;0;112.200;1;0;2;5031.850;1;0;Credit card (automatic);45;0
IVZHA03303;1;0;0;1;69.950;1;0;2;330.150;0;0;Electronic check;5;1
DFHUF71613;1;0;0;1;23.850;1;1;0;1672.100;2;0;Mailed check;71;0
TTRXI12609;0;0;0;0;54.300;1;0;1;195.300;0;0;Electronic check;4;1
QSOCG85779;1;0;1;1;20.200;1;0;0;746.050;2;1;Mailed check;38;0
JLGJT89639;0;0;1;0;55.900;1;0;1;157.550;0;0;Mailed check;3;0
FTKHB32669;0;0;0;0;19.150;1;0;0;343.450;2;0;Mailed check;17;0
LJADA61225;1;0;1;0;90.150;1;1;1;6237.050;2;1;Credit card (automatic);70;0
YGLWG87102;0;0;0;0;44.900;1;0;1;44.900;0;1;Mailed check;1;0
HHXJR64632;1;0;1;1;100.500;1;1;2;7030.650;2;0;Bank transfer (automatic);71;0
SYUHJ95766;0;0;0;0;91.150;1;1;2;3369.250;0;1;Electronic check;37;0
LBQVU92896;1;0;0;0;70.150;1;1;1;4480.700;1;1;Mailed check;64;0
QPJED22071;1;1;0;1;90.000;1;0;2;3371.750;0;0;Electronic check;37;0
YNRIO69906;1;0;1;0;108.650;1;1;2;6937.950;2;0;Bank transfer (automatic);65;1
WMEMG04896;0;0;1;1;49.450;1;0;1;1119.350;1;1;Electronic check;23;0
UXTKY21896;1;0;0;1;79.200;1;1;1;1742.750;0;1;Electronic check;22;1
MXJLL71057;1;1;0;1;60.700;1;0;1;1597.400;1;0;Mailed check;26;0
VBDCG71331;0;0;0;1;79.850;1;0;2;2015.350;0;1;Bank transfer (automatic);25;1
QRGTX99334;1;0;0;1;97.200;1;0;2;5611.750;2;1;Electronic check;60;0
ELRKD63564;0;0;0;1;95.600;1;0;2;95.600;0;1;Electronic check;1;1
IIQOF21945;1;0;0;1;89.300;1;1;1;6388.650;2;0;Credit card (automatic);71;0
GBATB80638;0;1;0;1;85.250;1;1;2;2287.250;0;1;Electronic check;27;1
CTWIH96113;0;0;0;1;89.450;1;0;2;240.450;0;1;Electronic check;3;1
DPYUH35715;1;0;1;0;94.700;1;1;2;5430.350;1;1;Credit card (automatic);58;0
QJGJD85196;0;0;0;1;75.350;1;0;2;1025.950;0;0;Electronic check;14;1
NEQVZ58464;1;0;1;0;70.850;1;0;1;4973.400;2;1;Credit card (automatic);71;0
KOUQO60222;1;0;1;1;29.050;0;2;1;44.750;0;0;Bank transfer (automatic);2;0
BAIAD72056;0;0;0;1;20.600;1;0;0;827.300;2;1;Bank transfer (automatic);40;0
BOSMD95746;1;0;1;0;25.400;1;1;0;1620.200;2;0;Bank transfer (automatic);68;0
TVUQF48843;0;1;0;1;101.300;1;1;2;5779.600;2;0;Credit card (automatic);57;0
GTPCA64393;0;0;0;1;87.250;1;1;2;3941.700;0;1;Electronic check;45;1
CAWEX37956;1;0;1;0;116.550;1;1;2;8152.300;2;1;Credit card (automatic);70;0
DPRQE78214;1;0;0;0;107.700;1;1;2;7320.900;0;1;Electronic check;68;0
CLMLV49834;1;0;0;1;102.700;1;1;2;5138.100;0;1;Credit card (automatic);52;0
DAMQP23802;1;0;0;1;115.150;1;1;2;8349.700;2;0;Electronic check;72;0
BFESC75341;0;1;0;0;76.100;1;1;2;1712.700;0;1;Electronic check;24;1
FRVEC66958;1;0;1;0;60.400;1;0;1;3953.700;2;1;Bank transfer (automatic);67;0
HJRDX03616;0;0;0;1;64.350;0;2;1;4539.600;2;0;Credit card (automatic);68;0
VXMJC03546;1;0;1;0;19.600;1;0;0;426.650;2;0;Credit card (automatic);23;0
ILWKJ65593;1;0;0;0;49.350;0;2;1;3515.250;2;0;Electronic check;71;1
VFOXH98954;0;0;0;1;24.400;0;2;1;24.400;0;0;Mailed check;1;0
BUJHX82297;1;0;1;1;20.500;1;0;0;1500.950;2;0;Bank transfer (automatic);71;0
OSWTN44766;1;1;0;0;110.550;1;1;2;7610.100;1;1;Mailed check;69;0
UPRYS29953;1;1;0;1;99.200;1;0;2;4062.200;1;1;Credit card (automatic);40;1
OLGAQ92089;0;1;0;1;84.950;1;0;2;1443.650;0;1;Electronic check;18;0
MMETB41242;0;0;0;0;94.650;1;1;2;2104.550;0;1;Credit card (automatic);22;1
TLVRW88826;1;0;1;0;39.100;0;2;1;2779.500;2;0;Mailed check;69;0
JIRMN29572;0;1;0;1;84.450;1;1;2;4959.150;1;0;Electronic check;62;0
ITDGM36464;0;0;0;1;19.700;1;0;0;1051.900;2;0;Bank transfer (automatic);56;0
ZALNP26732;0;0;0;1;19.900;1;0;0;173.150;1;0;Mailed check;7;0
SKRNR99755;0;0;0;0;18.900;1;0;0;18.900;0;0;Mailed check;1;0
UCSHY37249;1;0;1;0;19.550;1;0;0;122.900;0;0;Mailed check;6;0
GBZSH02599;0;0;0;0;85.650;1;1;2;181.500;0;1;Electronic check;2;1
CTCUS71306;1;1;0;0;54.550;1;0;1;825.100;0;1;Bank transfer (automatic);16;0
QUDFX81507;0;0;0;0;19.850;1;0;0;51.600;0;0;Mailed check;2;0
FFJDS82185;1;0;0;1;86.400;1;1;1;6058.950;2;1;Bank transfer (automatic);72;0
NFJTV82595;1;0;1;1;34.650;0;2;1;246.600;0;0;Mailed check;7;0
FIOIY79091;1;0;1;1;24.850;0;2;1;434.800;0;1;Mailed check;19;0
VOJQL27228;0;0;0;0;105.650;1;1;2;6903.100;1;1;Credit card (automatic);64;1
BJQGZ05849;0;0;0;1;78.350;1;1;1;1837.900;0;1;Bank transfer (automatic);25;0
VAILE67324;1;0;1;0;85.950;1;1;1;5931.750;2;1;Credit card (automatic);70;0
TPUBN13021;0;0;0;0;19.350;1;0;0;1240.800;2;0;Bank transfer (automatic);66;0
PEFPE83803;0;0;1;0;71.650;1;0;2;71.650;0;1;Electronic check;1;1
PWYJJ74028;1;0;0;1;91.150;1;1;2;4862.500;1;1;Electronic check;53;0
FDVOU42501;0;0;0;1;56.250;1;0;1;389.100;0;0;Electronic check;6;1
CPXKI91285;0;0;0;1;95.800;1;0;2;5655.450;2;0;Electronic check;59;0
WCSEP41831;0;0;0;0;78.450;1;0;2;2435.150;0;1;Electronic check;31;1
SWRVG04042;0;0;0;0;74.400;1;1;2;229.550;0;1;Electronic check;3;1
HWPWX62272;0;0;1;1;69.000;1;0;2;994.800;0;0;Bank transfer (automatic);15;1
VXWXM18992;0;0;0;0;106.100;1;1;2;5082.800;1;1;Credit card (automatic);48;1
JOVAH84501;1;0;1;0;56.700;1;1;1;113.550;0;0;Mailed check;2;1
VBOFE45508;1;1;0;0;102.950;1;1;2;7101.500;0;1;Electronic check;70;1
CQJSU95465;0;0;0;1;91.400;1;1;2;193.600;0;1;Electronic check;2;1
KWMXN47896;1;0;0;0;110.850;1;1;2;5275.800;1;1;Credit card (automatic);47;1
DUUIQ08356;0;0;1;1;21.050;1;0;0;531.550;1;0;Bank transfer (automatic);24;0
AGAWH18554;1;0;0;0;93.800;1;0;2;2939.800;1;1;Electronic check;31;0
YEXQJ90796;0;0;0;1;111.100;1;1;2;6014.850;0;0;Electronic check;54;1
AMVUX35779;0;0;0;0;55.050;1;0;1;55.050;0;0;Mailed check;1;0
ESMLS23162;1;0;1;1;33.150;0;2;1;444.750;1;0;Credit card (automatic);12;0
SXNHE94261;0;0;0;1;18.750;1;0;0;53.150;0;0;Bank transfer (automatic);2;0
XSXUQ85501;1;0;0;0;70.550;1;1;1;3420.500;1;1;Credit card (automatic);48;0
DRCLG07237;1;1;0;1;74.450;1;1;2;74.450;0;1;Electronic check;1;1
OSJUV21765;1;0;0;0;65.150;1;1;1;4681.750;2;0;Bank transfer (automatic);71;0
WESLM01074;0;0;0;0;19.850;1;0;0;19.850;0;1;Electronic check;1;1
XHBIE86265;0;0;1;0;24.800;1;1;0;1424.200;2;1;Mailed check;56;0
GWFLE01887;0;0;0;0;20.050;1;0;0;33.700;0;0;Mailed check;2;0
QPLTF57748;1;0;1;0;20.350;1;0;0;938.950;1;1;Mailed check;50;0
PECLO09291;0;1;0;1;89.600;1;1;2;5538.800;0;1;Bank transfer (automatic);63;0
QURRL56966;0;0;0;0;45.050;1;0;1;45.050;0;1;Mailed check;1;1
NZVGJ81247;0;0;0;1;49.250;0;2;1;255.600;1;1;Mailed check;6;0
MZLCC41307;0;0;0;1;50.550;1;0;1;244.750;0;0;Bank transfer (automatic);5;0
SNOJF44896;1;0;1;1;72.250;1;1;1;2568.550;0;0;Electronic check;35;1
HPEMB89841;0;0;0;1;118.650;1;1;2;8477.600;2;1;Electronic check;71;0
PIVVU46154;0;0;0;1;66.500;1;0;1;2762.750;2;0;Credit card (automatic);42;0
HJTXY68481;1;0;0;1;19.450;1;0;0;1208.600;2;0;Credit card (automatic);64;0
TFHHJ87576;0;0;0;0;49.800;1;0;1;49.800;0;1;Credit card (automatic);1;0
JANFB46039;0;0;0;0;69.850;1;0;2;69.850;0;1;Electronic check;1;1
HBFNN85659;1;0;0;0;107.200;1;1;2;7317.100;1;1;Credit card (automatic);69;0
WNBTY74224;1;0;0;0;93.350;1;1;2;3092.000;0;1;Electronic check;33;0
UYOOI47121;1;0;1;1;20.000;1;0;0;417.650;0;0;Electronic check;20;0
CDXFJ33729;1;0;1;0;24.500;1;1;0;343.600;1;0;Bank transfer (automatic);13;0
WILCI53533;0;0;0;1;56.050;1;0;1;1522.650;0;0;Electronic check;28;0
AADSA09887;1;0;1;1;80.850;1;1;1;5824.750;2;0;Bank transfer (automatic);72;0
RKSAP82705;0;0;0;0;70.500;1;0;2;597.900;0;1;Electronic check;9;0
BDFSG59549;0;0;0;1;107.500;1;1;2;7853.700;2;1;Credit card (automatic);72;0
JALQC57927;0;1;0;1;59.850;1;1;1;3103.250;2;0;Bank transfer (automatic);52;0
OUTMO22024;1;0;0;1;60.850;1;1;1;2003.600;0;1;Bank transfer (automatic);34;0
LIHRP90285;1;0;1;0;100.200;1;0;2;7209.000;2;0;Credit card (automatic);71;0
KPBJQ91502;0;0;0;1;19.650;1;0;0;116.850;2;0;Credit card (automatic);6;0
OCTMP40035;1;0;0;1;64.000;1;0;1;1910.750;1;1;Electronic check;31;0
LHDJH87755;1;1;0;1;90.600;1;1;2;90.600;0;1;Electronic check;1;1
UAYGJ67701;1;0;1;1;25.250;1;1;0;1211.650;2;0;Mailed check;49;0
IIWYC75962;0;0;0;1;20.250;1;0;0;538.200;2;1;Bank transfer (automatic);27;0
WBJVH08877;1;0;0;1;93.450;1;0;2;4872.200;1;1;Electronic check;53;0
DQLGN88409;1;1;0;1;100.500;1;1;2;3653.350;0;1;Bank transfer (automatic);35;1
VONUO84132;0;0;0;0;95.650;1;0;2;167.300;0;0;Electronic check;2;1
PKKZE92813;1;0;0;1;43.950;0;2;1;2007.850;0;1;Electronic check;46;0
PEIZU51867;0;0;0;1;19.250;1;0;0;617.650;0;0;Bank transfer (automatic);35;0
YPSAH63399;0;0;0;0;73.800;1;0;2;704.300;0;1;Electronic check;9;0
EFHVG23248;0;0;0;0;104.400;1;1;2;6692.650;2;1;Bank transfer (automatic);64;0
ZBFQJ19181;0;0;0;1;79.250;1;0;2;1111.650;0;1;Electronic check;13;1
GMKPR69686;0;0;0;1;81.550;1;0;2;4509.500;0;1;Electronic check;55;0
ICYZQ30624;1;0;1;1;93.800;1;1;2;4539.350;0;1;Electronic check;51;0
FAGXV22336;1;0;1;1;24.300;1;1;0;132.250;0;1;Mailed check;5;0
PPLPX60174;1;0;1;0;70.450;1;0;2;1470.950;0;1;Electronic check;20;1
FEBTD19828;1;0;1;1;25.600;1;1;0;514.750;2;1;Credit card (automatic);23;0
IOVQQ97059;1;1;1;0;99.000;1;1;2;5969.300;1;0;Electronic check;61;0
CHQJB62882;1;0;1;1;69.950;1;0;1;3871.850;2;0;Bank transfer (automatic);54;0
TOTBP33159;0;0;0;0;76.000;1;1;2;1130.850;0;1;Mailed check;15;1
EGVTU60962;1;0;1;1;24.900;1;1;0;1595.500;1;0;Mailed check;64;0
FTHUR29374;0;0;1;1;64.800;1;1;1;1166.700;0;0;Electronic check;18;0
HBMOS40623;0;0;0;0;103.050;1;1;2;5364.800;0;1;Electronic check;52;0
KDZQY23879;0;0;0;0;20.100;1;0;0;279.500;1;1;Mailed check;17;0
KNNWG46096;1;0;1;1;19.900;1;0;0;550.100;2;0;Mailed check;27;0
